from,to,date,origin
11172,9157,16920507,Whitehall
48362,34115,16530423,Bristol
44780,38454,16051123,Barmoor
39710,34115,16560630,-
51313,52683,16341031,St. Martin&#x0027;s Lane
35858,40994,17030320,Berlin
36663,39168,16260416,-
47846,34115,16670522,Portsmouth
3509,34115,16680903,Chatham
44120,6912,17090411,-
37517,42999,16661228,Newcastle
51134,34115,16650907,Woolwich Ropeyard
10683,20945,16150430,-
131,25316,16821231,-
19716,14200,16260207,-
44589,18912,16650403,-
25167,22969,17001101,Admiralty
19716,14200,16241122,-
24065,13045,16181031,London
2652,43400,16161006,-
49882,16865,16461125,Luttrellstown
451,34115,16540506,-
35671,42999,16760926,Plymouth
1137,39896,16670525,Ipswich
50697,41496,16201219,-
3962,451,16560408,"Truelove, Dartmouth"
22729,34115,16620618,Portsmouth Harbour
12516,33326,16311231,-
30941,10580,16230809,Weymouth and Melcombe Regis
11172,13523,16920418,Whitehall
14176,13045,16220504,-
6979,28068,16810608,Whitehall
28307,52608,16160109,-
10854,50697,16380311,-
41768,10580,16230325,Sandsfoot Castle
20839,44566,16070620,Holyrood House
14331,21177,17000626,Dublin
42097,40180,16210108,-
15883,41287,16280807,Launceston
41452,41287,16271217,Charing Cross
3545,451,16550310,-
17326,44566,16681204,-
32973,42999,16720202,Stafford
38017,34115,16520609,-
41675,18912,16641111,Hague
451,34651,16340419,Whitehall
9154,40994,17060227,Sick and Wounded Office
10580,12908,16500412,Whitehall
5441,41287,16261023,Falmouth
41496,43746,16200915,-
16090,39896,16700115,Portsmouth
6925,43025,16830929,Lisbon
31544,42999,16721119,Dublin
32077,40180,16390630,-
451,34651,16330218,Whitehall
40994,9730,17051119,The Cockpit
48136,40180,16360524,-
42940,41287,16351125,Somerleyton
36573,39175,16780331,Portsmouth
20945,15944,16070323,-
41657,42787,16390613,The Downs
40980,28226,16071006,-
44813,42999,16660403,Hamburg
6979,15232,16820930,Whitehall
39175,42999,16920324,Whitehall
32055,42999,16750924,Deal
3952,38385,16590924,-
18648,25923,16980521,Paris
48330,51814,16730611,-
19394,11172,16930220,Dublin
28279,39815,17030428,St. Malo
20946,25923,16840407,London
