id,person_name
18711,Heads of Houses at Oxford
8032,Collectors for Prize Goods
44035,Sir Thomas Chicheley
19159,Henry Hobart
29531,Major Nathaniel Darrell
51051,William Barnes
44108,Sir Thomas Fane
37212,Richard Badiley
42220,"Sir James Bagg, Vice Admiral of the South of Cornwall"
22834,John Daniell
11232,Daniel O&#x0027; Neile
11543,Dean and Chapter of Westminster
30830,Mayor and Aldermen of Bristol
34512,Nottingham
27425,Lord Dartmouth
42314,Sir James Spence
54632,NA
2315,Baron Tracy
913,All Mayors
